turtle.id,date,magnetic field,treatment,group,year,time spent exhibiting the turtle dance
L153,12/9/2017,Mexico,rewarded field,purple,2017,58.7055
L153,12/13/2017,"New Hampshire, USA",unrewarded field,purple,2017,10.27166667
L154,12/9/2017,"New Hampshire, USA",unrewarded field,purple,2017,9.008
L154,12/13/2017,Mexico,rewarded field,purple,2017,35.283
L155,12/10/2017,"New Hampshire, USA",rewarded field,red,2017,72.6265
L155,12/12/2017,Mexico,unrewarded field,red,2017,38.885
L156,12/9/2017,Mexico,rewarded field,purple,2017,151.763
L156,12/13/2017,"New Hampshire, USA",unrewarded field,purple,2017,29.82266667
L157,12/10/2017,Mexico,unrewarded field,red,2017,20.415
L157,12/12/2017,"New Hampshire, USA",rewarded field,red,2017,22.526
L158,12/10/2017,"New Hampshire, USA",rewarded field,red,2017,58.911
L158,12/12/2017,Mexico,unrewarded field,red,2017,12.11433333
L159,12/9/2017,"New Hampshire, USA",unrewarded field,purple,2017,2.404
L159,12/13/2017,Mexico,rewarded field,purple,2017,41.24
L160,12/10/2017,Mexico,unrewarded field,red,2017,16.66875
L160,12/12/2017,"New Hampshire, USA",rewarded field,red,2017,55.481
L161,12/9/2017,Mexico,rewarded field,purple,2017,52.4935
L161,12/11/2017,"New Hampshire, USA",unrewarded field,purple,2017,16.1115
L162,12/9/2017,"New Hampshire, USA",unrewarded field,purple,2017,1.4015
L162,12/11/2017,Mexico,rewarded field,purple,2017,24.65266667
L163,12/10/2017,"New Hampshire, USA",rewarded field,red,2017,63.06
L163,12/12/2017,Mexico,unrewarded field,red,2017,91.003
L164,12/10/2017,Mexico,unrewarded field,red,2017,3.756
L164,12/12/2017,"New Hampshire, USA",rewarded field,red,2017,41.9925
L165,12/9/2017,Mexico,rewarded field,purple,2017,20.0235
L165,12/11/2017,"New Hampshire, USA",unrewarded field,purple,2017,0.132666667
L166,12/10/2017,"New Hampshire, USA",rewarded field,red,2017,64.6145
L166,12/12/2017,Mexico,unrewarded field,red,2017,6.2075
L167,12/9/2017,"New Hampshire, USA",unrewarded field,purple,2017,66.246
L167,12/11/2017,Mexico,rewarded field,purple,2017,186.5855
L168,12/10/2017,Mexico,unrewarded field,red,2017,25.576
L168,12/12/2017,"New Hampshire, USA",rewarded field,red,2017,49.249
L169,11/28/2018,Cuba,rewarded field,blue,2018,51.7935
L169,11/30/2018,"Delaware, USA",unrewarded field,blue,2018,0.399
L170,11/29/2018,"Delaware, USA",rewarded field,orange,2018,17.84733333
L170,12/1/2018,Cuba,unrewarded field,orange,2018,4.905
L171,11/30/2018,Cuba,rewarded field,blue,2018,34.2815
L171,12/2/2018,"Delaware, USA",unrewarded field,blue,2018,18.8135
L172,11/28/2018,Cuba,rewarded field,blue,2018,56.907
L172,11/30/2018,"Delaware, USA",unrewarded field,blue,2018,6.907333333
L173,11/29/2018,Cuba,unrewarded field,orange,2018,9.86
L173,12/1/2018,"Delaware, USA",rewarded field,orange,2018,493.934
L174,11/29/2018,"Delaware, USA",rewarded field,orange,2018,42.5425
L174,12/1/2018,Cuba,unrewarded field,orange,2018,26.3785
L175,11/28/2018,"Delaware, USA",unrewarded field,blue,2018,30.029
L175,11/30/2018,Cuba,rewarded field,blue,2018,34.8335
L176,11/29/2018,Cuba,unrewarded field,orange,2018,26.66066667
L176,12/1/2018,"Delaware, USA",rewarded field,orange,2018,22.516
L177,11/29/2018,"Delaware, USA",rewarded field,orange,2018,138.492
L177,12/1/2018,Cuba,unrewarded field,orange,2018,11.0625
L178,11/28/2018,Cuba,rewarded field,blue,2018,127.027
L178,11/30/2018,"Delaware, USA",unrewarded field,blue,2018,48.20066667
L179,11/29/2018,Cuba,unrewarded field,orange,2018,12.2155
L179,12/1/2018,"Delaware, USA",rewarded field,orange,2018,18.17
L180,11/28/2018,"Delaware, USA",unrewarded field,blue,2018,12.00933333
L180,11/30/2018,Cuba,rewarded field,blue,2018,366.606
L181,11/28/2018,Cuba,rewarded field,blue,2018,16.3605
L181,11/30/2018,"Delaware, USA",unrewarded field,blue,2018,7.908
L182,11/30/2018,Cuba,rewarded field,blue,2018,44.70833333
L182,12/2/2018,"Delaware, USA",unrewarded field,blue,2018,7.407333333
L183,11/29/2018,"Delaware, USA",rewarded field,orange,2018,72.822
L183,12/1/2018,Cuba,unrewarded field,orange,2018,43.44
L184,11/29/2018,Cuba,unrewarded field,orange,2018,12.062
L184,12/1/2018,"Delaware, USA",rewarded field,orange,2018,54.904
L185,11/11/2019,"Florida, USA",unrewarded field,green,2019,1.51
L185,11/13/2019,"Maine, USA",rewarded field,green,2019,39.012
L185,6/28/2020,"New Hampshire, USA",rewarded field,maroon,2020_spr,27.1195
L185,6/30/2020,"Virginia, USA",unrewarded field,maroon,2020_spr,14.069
L186,11/12/2019,"Florida, USA",unrewarded field,green,2019,22.83433333
L186,11/14/2019,"Maine, USA",rewarded field,green,2019,33.777
L186,6/29/2020,"Virginia, USA",rewarded field,teal,2020_spr,19.9985
L186,7/1/2020,"New Hampshire, USA",unrewarded field,teal,2020_spr,5.997
L187,11/12/2019,"Maine, USA",rewarded field,green,2019,46.407
L187,11/14/2019,"Florida, USA",unrewarded field,green,2019,30.068
L187,6/29/2020,"Virginia, USA",rewarded field,teal,2020_spr,28.684
L187,7/1/2020,"New Hampshire, USA",unrewarded field,teal,2020_spr,18.7355
L188,11/11/2019,"Maine, USA",rewarded field,green,2019,26.6465
L188,11/13/2019,"Florida, USA",unrewarded field,green,2019,10.919
L188,6/28/2020,"New Hampshire, USA",rewarded field,maroon,2020_spr,15.374
L188,6/30/2020,"Virginia, USA",unrewarded field,maroon,2020_spr,16.712
L189,11/12/2019,"Florida, USA",unrewarded field,green,2019,14.193
L189,11/14/2019,"Maine, USA",rewarded field,green,2019,10.745
L189,6/28/2020,"Virginia, USA",unrewarded field,maroon,2020_spr,22.1145
L189,6/30/2020,"New Hampshire, USA",rewarded field,maroon,2020_spr,35.9915
L190,11/11/2019,"Florida, USA",unrewarded field,green,2019,8.2695
L190,11/13/2019,"Maine, USA",rewarded field,green,2019,18.492
L190,6/28/2020,"Virginia, USA",unrewarded field,maroon,2020_spr,59.487
L190,6/30/2020,"New Hampshire, USA",rewarded field,maroon,2020_spr,44.27
L191,11/12/2019,"Maine, USA",rewarded field,green,2019,45.33466667
L191,11/14/2019,"Florida, USA",unrewarded field,green,2019,6.123
L191,6/29/2020,"New Hampshire, USA",unrewarded field,teal,2020_spr,5.997
L191,7/1/2020,"Virginia, USA",rewarded field,teal,2020_spr,35.0425
L192,11/11/2019,"Maine, USA",rewarded field,green,2019,61.1305
L192,11/13/2019,"Florida, USA",unrewarded field,green,2019,16.827
L192,6/28/2020,"New Hampshire, USA",rewarded field,maroon,2020_spr,68.6205
L192,6/30/2020,"Virginia, USA",unrewarded field,maroon,2020_spr,51.0385
L193,11/12/2019,"Florida, USA",unrewarded field,green,2019,31.1165
L193,11/14/2019,"Maine, USA",rewarded field,green,2019,77.913
L193,6/28/2020,"New Hampshire, USA",rewarded field,maroon,2020_spr,34.9005
L193,6/30/2020,"Virginia, USA",unrewarded field,maroon,2020_spr,19.3615
L194,11/11/2019,"Florida, USA",unrewarded field,green,2019,11.12
L194,11/13/2019,"Maine, USA",rewarded field,green,2019,14.55933333
L194,6/28/2020,"Virginia, USA",unrewarded field,maroon,2020_spr,63.0355
L194,6/30/2020,"New Hampshire, USA",rewarded field,maroon,2020_spr,77.1365
L195,11/11/2019,"Maine, USA",rewarded field,green,2019,71.9675
L195,11/13/2019,"Florida, USA",unrewarded field,green,2019,6.6355
L195,6/29/2020,"New Hampshire, USA",unrewarded field,teal,2020_spr,17.73466667
L195,7/1/2020,"Virginia, USA",rewarded field,teal,2020_spr,39.4585
L196,11/12/2019,"Maine, USA",rewarded field,green,2019,23.684
L196,11/14/2019,"Florida, USA",unrewarded field,green,2019,8.628
L196,6/29/2020,"Virginia, USA",rewarded field,teal,2020_spr,47.6425
L196,7/1/2020,"New Hampshire, USA",unrewarded field,teal,2020_spr,8.1445
L197,11/11/2019,"Florida, USA",unrewarded field,green,2019,11.517
L197,11/13/2019,"Maine, USA",rewarded field,green,2019,19.82
L197,6/29/2020,"New Hampshire, USA",unrewarded field,teal,2020_spr,31.1395
L197,7/1/2020,"Virginia, USA",rewarded field,teal,2020_spr,25.7925
L198,11/12/2019,"Florida, USA",unrewarded field,green,2019,50.3465
L198,11/14/2019,"Maine, USA",rewarded field,green,2019,118.397
L198,6/29/2020,"Virginia, USA",rewarded field,teal,2020_spr,92.099
L198,7/1/2020,"New Hampshire, USA",unrewarded field,teal,2020_spr,33.7135
L199,11/12/2019,"Maine, USA",rewarded field,green,2019,36.113
L199,11/14/2019,"Florida, USA",unrewarded field,green,2019,33.8985
L199,6/28/2020,"Virginia, USA",unrewarded field,maroon,2020_spr,31.3335
L199,6/30/2020,"New Hampshire, USA",rewarded field,maroon,2020_spr,46.3915
L200,11/13/2019,"Maine, USA",rewarded field,green,2019,36.148
L200,11/15/2019,"Florida, USA",unrewarded field,green,2019,44.209
L200,6/29/2020,"New Hampshire, USA",unrewarded field,teal,2020_spr,8.8805
L200,7/1/2020,"Virginia, USA",rewarded field,teal,2020_spr,29.8255
L201,12/4/2020,Turks & Caicos,rewarded field,grey,2020_fall,137.538
L201,12/6/2020,Haiti,unrewarded field,grey,2020_fall,102.744
L202,12/3/2020,Haiti,rewarded field,pink,2020_fall,326.313
L202,12/5/2020,Turks & Caicos,unrewarded field,pink,2020_fall,181.954
L203,12/4/2020,Haiti,unrewarded field,grey,2020_fall,164.616
L203,12/6/2020,Turks & Caicos,rewarded field,grey,2020_fall,266.4965
L204,12/3/2020,Turks & Caicos,unrewarded field,pink,2020_fall,21.4715
L204,12/5/2020,Haiti,rewarded field,pink,2020_fall,93.433
L205,12/4/2020,Turks & Caicos,rewarded field,grey,2020_fall,29.17466667
L205,12/6/2020,Haiti,unrewarded field,grey,2020_fall,19.99
L206,12/4/2020,Haiti,unrewarded field,grey,2020_fall,38.57366667
L206,12/6/2020,Turks & Caicos,rewarded field,grey,2020_fall,168.5306667
L207,12/3/2020,Haiti,rewarded field,pink,2020_fall,24.8005
L207,12/5/2020,Turks & Caicos,unrewarded field,pink,2020_fall,92.193
L208,12/4/2020,Turks & Caicos,rewarded field,grey,2020_fall,338.419
L208,12/6/2020,Haiti,unrewarded field,grey,2020_fall,104.204
L209,12/3/2020,Turks & Caicos,unrewarded field,pink,2020_fall,78.2515
L209,12/5/2020,Haiti,rewarded field,pink,2020_fall,98.8635
L211,12/3/2020,Haiti,rewarded field,pink,2020_fall,96.964
L211,12/5/2020,Turks & Caicos,unrewarded field,pink,2020_fall,42.8505
L212,12/4/2020,Haiti,unrewarded field,grey,2020_fall,38.897
L212,12/6/2020,Turks & Caicos,rewarded field,grey,2020_fall,55.2685
L213,12/3/2020,Turks & Caicos,unrewarded field,pink,2020_fall,44.751
L213,12/5/2020,Haiti,rewarded field,pink,2020_fall,116.7985
L214,12/4/2020,Turks & Caicos,rewarded field,grey,2020_fall,28.258
L214,12/6/2020,Haiti,unrewarded field,grey,2020_fall,17.7545
L216,12/4/2020,Haiti,unrewarded field,grey,2020_fall,24.8615
L216,12/6/2020,Turks & Caicos,rewarded field,grey,2020_fall,49.1245
