,turtle.id,magnetic.field,percent.change
1,L185,rewarded,40.6246317
2,L185,unrewarded intensity/rewarded inclination,213.9746612
3,L186,rewarded,45.76504038
4,L186,unrewarded intensity/rewarded inclination,21.98475653
5,L187,rewarded,462.9246153
6,L187,rewarded intensity/unrewarded inclination,-56.85412382
7,L188,rewarded,193.5224414
8,L188,rewarded intensity/unrewarded inclination,-3.243744208
9,L189,rewarded,15.58546706
10,L189,rewarded intensity/unrewarded inclination,231.2114158
11,L190,rewarded,40.23196264
12,L190,rewarded intensity/unrewarded inclination,-17.10850028
13,L191,rewarded,64.76372175
14,L191,rewarded intensity/unrewarded inclination,-82.95176597
15,L192,rewarded,235.0103328
16,L192,rewarded intensity/unrewarded inclination,-23.28188893
17,L193,rewarded,19.70086883
18,L193,unrewarded intensity/rewarded inclination,58.77325526
19,L194,rewarded,192.4590715
20,L194,unrewarded intensity/rewarded inclination,-52.47252747
21,L195,rewarded,183.4857874
22,L195,unrewarded intensity/rewarded inclination,128.4400511
23,L196,rewarded,162.4510727
24,L196,unrewarded intensity/rewarded inclination,-8.234652926
25,L197,rewarded,13.40749845
26,L197,unrewarded intensity/rewarded inclination,-44.88355236
27,L198,rewarded,25.68074479
28,L198,unrewarded intensity/rewarded inclination,30.70707757
29,L199,rewarded,-19.5542853
30,L199,rewarded intensity/unrewarded inclination,108.8690713
31,L200,rewarded,177.9419173
32,L200,rewarded intensity/unrewarded inclination,12.79476053
