,turtle.id,field,mean.duration,field.type,log.dur (log transformed)
1,L185,Florida,16.97,control,2.831447079
2,L185,Maine,23.864,conditioned,3.172371047
3,L185,FLint/Minc,53.2815,mismatch,3.975589179
4,L186,Florida,41.854,control,3.734187372
5,L186,Maine,61.0085,conditioned,4.111013199
6,L186,FLint/Minc,51.0555,mismatch,3.932913276
7,L187,Maine,119.067,conditioned,4.77968636
8,L187,FLinc/Mint,9.126,mismatch,2.211127483
9,L187,Florida,21.1515,control,3.051710825
10,L188,Maine,44.3395,conditioned,3.791875928
11,L188,FLinc/Mint,14.616,mismatch,2.682116819
12,L188,Florida,15.106,control,2.715092016
13,L189,FLinc/Mint,43.636,mismatch,3.775882498
14,L189,Florida,13.17466667,control,2.578295794
15,L189,Maine,15.228,conditioned,2.723135839
16,L190,FLinc/Mint,16.5095,mismatch,2.803935973
17,L190,Florida,19.917,control,2.991573638
18,L190,Maine,27.93,conditioned,3.32970138
19,L191,Florida,10.221,control,2.324444427
20,L191,Maine,16.8405,conditioned,2.8237867
21,L191,FLinc/Mint,1.7425,mismatch,0.555320864
22,L192,Florida,56.8575,control,4.040548138
23,L192,Maine,190.4785,conditioned,5.249539327
24,L192,FLinc/Mint,43.62,mismatch,3.775515761
25,L193,Maine,50.7005,conditioned,3.925935772
26,L193,FLint/Minc,67.25,mismatch,4.208417018
27,L193,Florida,42.356,control,3.746110088
28,L194,Maine,52.163,conditioned,3.954373431
29,L194,FLint/Minc,8.477,mismatch,2.137356614
30,L194,Florida,17.836,control,2.881218887
31,L195,FLint/Minc,23.2255,mismatch,3.145250813
32,L195,Florida,10.167,control,2.319147181
33,L195,Maine,28.822,conditioned,3.361138984
34,L196,FLint/Minc,18.521,mismatch,2.918905223
35,L196,Florida,20.183,control,3.004840666
36,L196,Maine,52.9705,conditioned,3.969735155
37,L197,Florida,15.8655,control,2.76414694
38,L197,Maine,17.99266667,conditioned,2.889964267
39,L197,FLint/Minc,8.7445,mismatch,2.168424931
40,L198,Florida,49.05166667,control,3.892874164
41,L198,Maine,61.6485,conditioned,4.121448898
42,L198,FLint/Minc,64.114,mismatch,4.160662749
43,L199,Maine,29.648,conditioned,3.38939467
44,L199,FLinc/Mint,76.978,mismatch,4.343519667
45,L199,Florida,36.85466667,control,3.60698225
46,L200,Maine,85.513,conditioned,4.448668411
47,L200,FLinc/Mint,34.703,mismatch,3.546826139
48,L200,Florida,30.7665,control,3.426426436
