treatment,angle of orientation
Cape Verde without RF,9.21
Cape Verde without RF,281.37
Cape Verde without RF,251.9
Cape Verde without RF,274.96
Cape Verde without RF,275.52
Cape Verde without RF,299.67
Cape Verde without RF,110.68
Cape Verde without RF,259.4
Cape Verde without RF,250.31
Cape Verde without RF,323.76
Cape Verde without RF,344.83
Cape Verde without RF,4.41
Cape Verde without RF,138.76
Cape Verde without RF,274.53
Cape Verde without RF,283.96
Cape Verde without RF,58.62
Cape Verde without RF,229.72
Cape Verde without RF,260.11
Cape Verde without RF,348.08
Cape Verde without RF,19.11
Cape Verde without RF,292.54
Cape Verde without RF,318.97
Cape Verde without RF,250.92
Cape Verde without RF,206.32
Cape Verde without RF,265.26
Cape Verde without RF,345.52
Cape Verde with RF,125.8
Cape Verde with RF,321.11
Cape Verde with RF,315.97
Cape Verde with RF,84.4
Cape Verde with RF,175.84
Cape Verde with RF,58.79
Cape Verde with RF,63.57
Cape Verde with RF,102.62
Cape Verde with RF,197.79
Cape Verde with RF,30.05
Cape Verde with RF,54.16
Cape Verde with RF,191.15
Cape Verde with RF,9.99
Cape Verde with RF,17.93
Cape Verde with RF,185.89
Cape Verde with RF,47.26
Cape Verde with RF,62.22
Cape Verde with RF,203.43
Cape Verde with RF,332.98
Cape Verde with RF,37.7
Cape Verde with RF,258.73
Cape Verde with RF,9.31
Cape Verde with RF,220
Cape Verde with RF,265.02
