treatment,angle of orientation
Cape Verde without RF,9.213096238
Cape Verde without RF,281.3710759
Cape Verde without RF,251.8970208
Cape Verde without RF,274.9576127
Cape Verde without RF,275.5234414
Cape Verde without RF,299.6651994
Cape Verde without RF,110.6802653
Cape Verde without RF,259.401012
Cape Verde without RF,250.3086234
Cape Verde without RF,323.7593388
Cape Verde without RF,344.827843
Cape Verde without RF,4.406125298
Cape Verde without RF,138.7563951
Cape Verde without RF,274.5312405
Cape Verde without RF,283.9567579
Cape Verde without RF,58.62020564
Cape Verde without RF,229.7234824
Cape Verde without RF,260.1121167
Cape Verde without RF,348.0803035
Cape Verde without RF,19.10934506
Cape Verde without RF,292.5364895
Cape Verde without RF,318.9723343
Cape Verde without RF,250.9248714
Cape Verde without RF,206.3162324
Cape Verde without RF,265.2567706
Cape Verde without RF,345.5207539
Cape Verde with RF,125.798442
Cape Verde with RF,321.1134001
Cape Verde with RF,315.9748976
Cape Verde with RF,84.40180115
Cape Verde with RF,175.8369906
Cape Verde with RF,58.78835545
Cape Verde with RF,63.57447218
Cape Verde with RF,102.624015
Cape Verde with RF,197.7874516
Cape Verde with RF,30.05356612
Cape Verde with RF,54.16182762
Cape Verde with RF,191.1460597
Cape Verde with RF,9.988532756
Cape Verde with RF,17.93155923
Cape Verde with RF,185.8865291
Cape Verde with RF,47.25676636
Cape Verde with RF,62.21684775
Cape Verde with RF,203.4301825
Cape Verde with RF,332.9842115
Cape Verde with RF,37.69680831
Cape Verde with RF,258.7264678
Cape Verde with RF,9.308038344
Cape Verde with RF,219.9975502
Cape Verde with RF,265.0184677
